Trending Percent,Response Score,City,Country,Public Health Capacity,Societal Strength,Economic Ability,Infrastructure,Collaborative Will,Spread Response,Treatment Response,Economic Response,Supply Chain Response
13.8531,67.0,Ciudad Guayana,Venezuela,52,52,41,0,35,86.0,94.0,30.0,35.0
13.208,47.0,Zamboanga,Philippines,48,52,46,83,67,67.0,26.0,26.0,70.0
13.1822,38.0,Canoas,Brazil,71,67,54,88,40,25.0,33.0,35.0,69.0
11.95,41.0,Novo Hamburgo,Brazil,71,67,54,88,40,23.0,44.0,35.0,69.0
11.8384,45.0,Sorocaba,Brazil,71,67,54,88,40,33.0,49.0,35.0,69.0
11.5826,41.0,Rio de Janeiro,Brazil,71,66,56,88,40,43.0,22.0,39.0,69.0
11.3714,69.0,Kazan,Russia,83,52,81,77,61,75.0,60.0,,72.0
11.3358,39.0,Tulancingo,Mexico,0,0,0,0,0,59.0,19.0,,
11.3257,55.0,Esperanza,Mexico,0,0,0,0,0,90.0,20.0,,
11.2578,39.0,Porto Velho,Brazil,71,66,54,88,40,12.0,47.0,35.0,69.0
10.9728,35.0,Schweinfurt,Germany,0,0,0,0,0,45.0,25.0,,
10.7583,38.0,Cuiaba,Brazil,71,67,54,88,40,17.0,41.0,35.0,69.0
10.7059,71.0,Kochi,Japan,0,0,0,0,0,86.0,56.0,,
10.4663,45.0,Quezon City,Philippines,48,57,60,83,67,10.0,61.0,,70.0
10.443,38.0,Fortaleza,Brazil,71,63,54,88,40,33.0,25.0,36.0,69.0
10.4194,60.0,Bogor,Indonesia,48,61,48,74,65,43.0,83.0,35.0,74.0
10.2048,40.0,Canatlan,Mexico,0,0,0,0,0,55.0,24.0,,
9.83455,52.0,Ayutla,Mexico,0,0,0,0,0,86.0,17.0,,
9.82071,69.0,Daman,India,22,57,35,78,67,65.0,99.0,29.0,72.0
9.61876,68.0,Bandung,Indonesia,47,61,45,75,65,69.0,89.0,29.0,74.0
9.45473,41.0,Joao Pessoa,Brazil,71,65,54,88,40,21.0,47.0,35.0,69.0
8.89451,38.0,Belem,Brazil,71,66,54,88,40,31.0,25.0,35.0,69.0
8.81868,65.0,Kralendijk,Caribbean Netherlands,0,0,0,0,0,48.0,82.0,,
8.77904,80.0,Sendai,Japan,87,78,76,94,65,91.0,89.0,53.0,77.0
8.7148,54.0,Bekasi,Indonesia,47,61,48,74,65,17.0,90.0,35.0,74.0
8.66241,51.0,Manila,Philippines,48,62,50,85,67,52.0,50.0,34.0,70.0
8.49303,57.0,Chandigarh,India,22,64,35,78,67,52.0,71.0,29.0,72.0
8.32525,76.0,Ufa,Russia,83,53,81,77,61,71.0,83.0,,72.0
8.14249,53.0,Amritsar,India,22,60,35,81,67,73.0,35.0,29.0,72.0
8.14249,53.0,Jalandhar,India,22,62,35,78,67,73.0,35.0,29.0,72.0
8.14249,53.0,Ludhiana,India,22,61,35,78,67,73.0,35.0,29.0,72.0
7.86416,46.0,Matamoros,Mexico,53,65,61,61,54,60.0,23.0,37.0,67.0
7.75079,50.0,Londrina,Brazil,71,66,54,88,40,21.0,74.0,35.0,69.0
7.54497,41.0,Budapest,Hungary,78,68,52,88,57,31.0,33.0,39.0,72.0
7.16759,77.0,Peterborough,Canada,0,0,0,0,0,75.0,79.0,,
7.14659,43.0,Motul,Mexico,0,0,0,0,0,70.0,15.0,,
7.12412,46.0,Khartoum,Sudan,42,35,31,74,37,85.0,,21.0,18.0
