week,2019,2020,perc_change
Week-1,"13,130","14,434",0.09931
Week-2,"14,078","14,778",0.04972
Week-3,"14,048","14,932",0.06293
Week-4,"14,412","14,953",0.03754
Week-5,"14,425","14,912",0.03376
Week-6,"14,103","14,766",0.04701
Week-7,"15,435","14,954",-0.03116
Week-8,"14,837","14,730",-0.00721
Week-9,"14,731","15,136",0.02749
Week-10,"14,914","14,760",-0.01033
Week-11,"14,734","14,465",-0.01826
Week-12,"14,516","12,430",-0.14370
Week-13,"14,956","12,331",-0.17551
Week-14,"16,379","11,532",-0.29593
Week-15,"16,457","10,815",-0.34283
Week-16,"16,554","10,884",-0.34252
Week-17,"16,076","11,180",-0.30455
Week-18,"16,215","10,624",-0.34480
Week-19,"16,509","10,611",-0.35726
Week-20,"16,577","10,913",-0.34168
Week-21,"16,936","10,715",-0.36732
Week-22,"17,524","11,032",-0.37046
Week-23,"17,539","11,587",-0.33936
Week-24,"17,897","12,037",-0.32743
Week-25,"18,290","12,685",-0.30645
Week-26,"18,590","13,384",-0.28004
Week-27,"18,551","13,947",-0.24818
Week-28,"18,882","14,494",-0.23239
Week-29,"18,911","14,517",-0.23235
Week-30,"19,405","14,636",-0.24576
Week-31,"19,299","14,545",-0.24633
Week-32,"19,211","14,798",-0.22971
Week-33,"18,885","14,853",-0.21350
Week-34,"19,209","15,095",-0.21417
Week-35,"18,921","14,898",-0.21262
Week-36,"18,327","14,618",-0.20238
Week-37,"17,286","14,119",-0.18321
Week-38,"17,192","14,161",-0.17630
Week-39,"16,705","13,967",-0.16390
Week-40,"16,372","13,754",-0.15991
Week-41,"16,145","13,686",-0.15231
Week-42,"16,268","13,800",-0.15171
Week-43,"16,091","13,703",-0.14841
Week-44,"15,951","13,641",-0.14482
Week-45,"15,756","13,608",-0.13633
Week-46,"15,512","13,417",-0.13506
Week-47,"15,178","13,392",-0.11767
Week-48,"15,925","13,419",-0.15736
Week-49,"15,734","13,326",-0.15304
Week-50,"15,485","13,316",-0.14007
Week-51,"15,883","13,648",-0.14072
Week-52,"13,753","11,743",-0.14615
