week_num,2019,2020
4,"44,505","45,051"
5,"45,454","45,492"
6,"45,085","45,204"
7,"45,944","44,634"
8,"45,385","44,448"
9,"45,462","44,597"
10,"45,958","44,887"
11,"44,692","45,196"
12,"44,554","44,645"
13,"44,760","43,815"
14,"45,845","42,907"
15,"46,449","41,700"
16,"47,149","40,936"
17,"47,440","40,448"
18,"46,747","39,716"
19,"46,840","39,828"
20,"47,127","39,858"
21,"47,716","39,497"
22,"48,704","39,661"
23,"49,163","39,385"
24,"49,628","39,302"
25,"50,044","40,082"
26,"50,221","41,105"
27,"50,508","42,241"
28,"50,783","43,466"
29,"50,861","44,050"
30,"51,123","44,210"
31,"51,280","43,870"
32,"51,051","43,921"
33,"50,787","44,042"
34,"50,727","44,369"
35,"50,726","45,005"
36,"50,668","45,066"
37,"50,463","44,885"
38,"49,698","44,686"
39,"49,348","44,458"
40,"48,805","44,382"
41,"48,321","44,232"
42,"48,315","44,171"
43,"47,947","44,059"
44,"48,016","43,926"
45,"48,131","43,964"
46,"47,843","43,794"
47,"47,424","43,682"
48,"47,423","43,817"
49,"47,332","43,771"
50,"47,445","43,772"
51,"47,733","43,902"
52,"46,872","43,137"
