weeks,perc_calls_change
1-4,0.012
5-8,-0.021
9-12,0.002
13-16,-0.132
17-20,-0.154
21-24,-0.208
25-28,-0.144
29-32,-0.128
33-36,-0.111
37-40,-0.091
41-44,-0.085
45-48,-0.076
49-52,-0.08
