Period,Mexico_Annual,Mexico_Monthly,Colombia_Annual,Colombia_Monthly,Chile_Annual,Chile_Monthly
1992,35.02,,51.30,,34.00,
1993,35.92,,51.69,,35.29,
1994,36.52,,52.50,,35.29,
1995,37.67,,52.85,,36.54,
1996,37.66,,53.17,,37.04,
1997,39.68,,53.49,,38.18,
1998,39.32,,53.38,,38.18,
1999,38.48,,53.33,,38.60,
2000,38.87,,53.62,,38.60,
2001,38.08,,54.23,,37.29,
2002,38.35,,54.48,,37.29,
2003,39.17,,55.41,,38.33,
2004,40.22,,53.64,,40.32,
2005,41.33,,52.60,,41.27,
2006,42.45,,51.59,,42.19,
2007,42.86,,50.63,,43.08,
2008,42.75,,51.22,,45.45,
2009,43.28,,54.49,,46.27,
2010,43.06,,55.88,,47.06,
2011,43.43,,56.65,,49.28,
2012,44.47,,57.95,,48.57,
2013,44.57,,58.10,,49.30,
2014,43.56,,57.69,,50.00,
2015,43.89,,58.38,,50.68,
2016,43.87,,58.20,,50.00,
2017,43.55,,58.03,,51.32,
Jan-18,42.74,42.74,55.79,55.79,49.43,49.43
Feb-18,,42.78,,55.52,,49.48
Mar-18,,42.72,,56.18,,49.32
Apr-18,,43.72,,58.12,,49.40
May-18,,43.72,,56.74,,49.22
Jun-18,,43.67,,56.91,,48.93
Jul-18,,42.92,,56.23,,48.88
Aug-18,,43.83,,56.95,,48.71
Sep-18,,43.78,,57.54,,49.02
Oct-18,,43.42,,58.28,,49.21
Nov-18,,44.17,,55.74,,49.59
Dec-18,,43.83,,56.82,,49.58
Jan-19,,43.38,,55.74,,49.02
Feb-19,,43.27,,56.57,,49.11
Mar-19,,44.60,,56.40,,49.41
Apr-19,,44.24,,54.99,,49.89
May-19,,44.86,,56.14,,49.59
Jun-19,,45.47,,56.50,,49.60
Jul-19,,44.96,,55.80,,49.37
Aug-19,,44.56,,55.07,,49.50
Sep-19,,45.12,,56.02,,49.12
Oct-19,,45.44,,57.52,,49.31
Nov-19,,45.50,,56.05,,49.47
Dec-19,,45.24,,55.22,,53.46
Jan-20,,44.86,,54.12,,53.06
Feb-20,,45.15,,54.85,,52.24
Mar-20,,45.09,,51.32,,47.42
Apr-20,,34.98,,42.68,,42.06
May-20,,35.28,,45.23,,39.82
Jun-20,,39.70,,48.49,,39.26
Jul-20,,39.17,,46.54,,40.19
Aug-20,,38.95,,49.24,,41.28
Sep-20,,40.18,,51.35,
Oct-20,,42.17,,,
Nov-20,,41.67,,,
Dec-20,,41.41,,,
