countrydescription,ccode,isiccode,y2018_01,y2018_02,y2018_03,y2018_04,y2018_05,y2018_06,y2018_07,y2018_08,y2018_09,y2018_10,y2018_11,y2018_12,y2019_01,y2019_02,y2019_03,y2019_04,y2019_05,y2019_06,y2019_07,y2019_08,y2019_09,y2019_10,y2019_11,y2019_12,y2020_01,y2020_02,y2020_03,y2020_04,y2020_05,y2020_06,y2020_07,y2020_08,y2020_09,y2020_10,y2020_11,y2020_12
China,CHINA,C,120.1081101,120.1229855,119.7631121,122.2461211,122.3185095,122.5360798,123.5591288,124.1737913,124.3655459,125.4059638,125.3934271,126.2231085,126.5146427,126.5375045,128.1654146,126.819138,128.6032174,130.1882285,130.5422656,131.7889332,132.8645179,133.6309616,135.3735609,136.4052318,100.7879898,99.03694985,120.9402868,128.4808237,132.8286992,136.4428583,139.8226919,142.1125448,144.5809705,146.3210472,147.8722453,149.2744269
Latin America,DC3,C,101.5068234,101.0702856,102.9440197,101.5285356,97.80414496,101.7122313,101.2460086,101.4323114,100.219362,100.1164688,100.1885319,99.04789173,99.85990188,100.722706,99.91450033,101.1437323,100.9760291,99.8900188,100.2428493,100.2522053,99.76600448,100.1474741,99.32898425,99.06157058,100.2238067,100.3529993,91.12300165,67.67317609,72.98660876,85.65225333,93.43736037,95.37761783,98.65502131,100.2911392,101.2926029,102.8086814
Developing and EIE (excl. China),DEIEC,C,110.1744114,109.773196,109.9708467,110.2170095,107.4609741,109.0377065,108.9223022,109.7972127,109.0321755,109.5618657,109.2310055,108.7897773,109.0969104,109.3302678,109.9576287,110.9001855,109.8391353,107.4837757,109.4486414,108.3984516,108.0630237,108.1968711,109.9121496,109.821591,110.7427275,111.1999279,97.65014566,66.44216269,79.476674,94.06337763,101.7633716,104.2025621,108.142893,110.591428,111.7671433,113.1509985
Industrialized Economies,IC,C,104.991599,105.197204,105.5201451,105.7838782,106.0832206,106.2315772,105.8958661,106.4174809,106.1293654,106.7547338,106.1246224,106.2452852,105.963163,105.9083611,105.8700668,105.5181027,106.0211418,105.4685042,105.7335685,105.3673888,105.6781669,104.8136323,104.7090377,104.4465357,105.8363047,105.1967281,99.1453814,84.31499405,87.24233797,93.9468152,98.43952535,99.59850322,100.9039948,102.1201057,103.559207,103.5574291
North America,IC1,C,102.1202483,103.2201064,103.2785051,103.7897634,103.0221398,103.8331453,104.2747179,104.7282646,104.7348406,104.6321767,104.8330877,105.5065865,104.9007124,104.3524519,104.3338036,103.4232749,103.549789,104.1337758,103.7309722,104.3818966,103.6999571,103.1143999,104.1447685,104.39073,104.2100376,104.1393703,98.93678417,83.27887152,86.46292453,93.24099908,97.20779068,98.50551728,98.5299564,99.84957024,100.6814815,101.6408884
Europe,IC2,C,107.7760245,106.3675517,106.5343966,106.9200748,107.9529101,108.0203548,106.8199039,107.5479586,107.2053448,107.6450251,106.8336242,106.8179919,107.4459733,107.9128168,108.1004561,107.1732865,107.9978253,106.9018351,106.9137947,106.6114678,107.0972347,106.7875328,106.0071835,104.2487592,106.4923551,106.8107539,96.50863394,78.59152055,86.8013779,95.02633926,100.0178876,100.9978576,101.4373984,102.9652809,105.6281062,104.309001
East Asia,IC3,C,104.2738673,106.0141115,106.91582,106.6409994,107.1990516,106.5441676,106.6189733,106.8438469,106.3807504,108.2763722,106.8788022,106.3942155,104.9975272,104.7289675,104.2348285,105.5600177,106.0336823,104.9086275,106.3935535,104.5593221,105.9643867,103.7536157,103.183041,104.6951469,106.7779398,103.7985412,103.7416634,94.62878204,88.38295619,92.65183074,97.24430005,98.51930509,102.9144047,103.4828913,103.7858433,104.644616
World,WORLD,C,110.1042493,110.1770363,110.2827676,111.1988794,111.0457924,111.3947779,111.4876407,112.0812749,111.8745298,112.6102493,112.2000527,112.458955,112.4203824,112.4248442,112.9619956,112.4800755,113.1636329,113.0140705,113.5198366,113.5430814,113.9979164,113.7404162,114.4102757,114.5511952,104.9662863,104.1372503,105.3853365,95.08714656,99.70867798,106.4961132,111.0652231,112.7192831,114.7002218,116.2263721,117.6653068,118.2524603
World,WORLD,C10,109.010701,109.618002,109.9002654,109.7654684,109.8403711,110.1430612,110.5236404,110.737232,110.0788729,110.4193739,110.5109274,110.706814,112.0891559,112.0571323,112.2098348,112.3348734,111.9838626,112.2041498,112.1769827,111.9730313,111.6474865,111.849698,111.936502,112.3600231,108.1302566,108.2228496,112.084626,107.8805537,107.8124646,110.1248452,111.4077227,111.2420616,112.045309,112.1216518,112.0178297,111.0386051
World,WORLD,C11,106.0413785,106.5801405,107.4971714,107.8395076,107.8550536,107.9205203,108.1236541,109.0222745,108.1767706,108.3807353,108.016535,108.5895111,109.4171469,108.7652034,109.9457908,109.6991592,108.7180837,109.9410184,109.0956657,109.1100421,110.5523744,109.2708454,110.0646488,111.3830277,104.9184873,104.8994096,104.5513824,91.64759216,97.52969732,105.2995996,108.4823162,109.5426705,110.1347246,110.3060765,109.6510881,108.1526446
