DATE,changes_Total,changes_Advanced economies,changes_EMDEs,changes_Offshore centres,changes_Unallocated,growth_Total,growth_Advanced economies,growth_EMDEs,growth_Offshore centres,Total assets,Total liabilities,Domestic claims,Foreign claims
201501,0.81192338,0.76760058,-0.051001477,0.063445728,0.031878549,5.64467738835297,6.36387682243698,0.216052020078106,7.19112680103251,,,,
201502,-0.882534255,-0.905498856,0.050228295,-0.015441227,-0.011822467,0.874402176452516,0.357664661431323,-0.968820859656461,5.05584543046373,,,,
201503,-0.122625142,0.027507844,-0.154358052,0.00161691,0.002608156,-0.905854760144564,-0.899323816573294,-6.11295721701094,3.34092822619418,,,,
201504,-0.658563894,-0.362657728,-0.150758274,-0.120331131,-0.02481676,-3.24669627022325,-2.65278186147034,-8.44969807510886,-1.84296170829107,61.603040794,57.113581137,36.929768988,18.71158731
201601,0.422779806,0.459510896,-0.074375534,0.012843536,0.024800909,-4.48900664199376,-3.96974566933409,-9.13765472531477,-3.10280893409467,64.474535344,59.850484588,38.186112447,19.467424382
201602,0.488371314,0.326474903,0.111802422,0.054470501,-0.004376511,0.364891957918778,2.2705332350679,-7.51046850785929,-1.42786696387287,64.578699846,60.002121915,37.759095081,19.5118191
201603,-0.093864914,-0.10485595,0.008175607,0.011760817,-0.008945389,0.483428819577725,1.59187073853522,-3.16129606157116,-1.19182942092302,64.098001349,59.559219009,38.314996927,19.370429301
201604,-0.307790416,-0.308711329,-0.005701006,0.02961315,-0.02299123,1.86387182602128,1.94102603361339,1.10869161929561,2.65327944610008,60.774519686,56.605045002,37.14426458,18.556637856
201701,0.412070487,0.181922364,0.151147394,0.098339102,-0.019338372,1.82671805410324,0.497380147556203,7.77574162089933,4.76908171238455,62.526759228,58.256593557,38.503649161,19.496166018
201702,-0.10565549,-0.184261647,0.070706901,0.029527129,-0.021627874,-0.294885424517299,-2.05507367706536,6.40910519380553,4.11409455626364,64.307086968,59.891168127,39.809127455,20.132655839
201703,0.061194248,-0.030388768,0.061817776,0.047313565,-0.017548324,0.251657716235854,-1.69150750131674,7.89489200405307,4.95869235489288,65.804018901,61.289327896,40.653864154,20.779617318
201704,0.132783278,-0.054852126,0.051061224,0.132717698,0.003856482,1.82113551937637,-0.421973268390852,9.48555776683317,7.36786576210213,65.842893659,61.20576204,41.131250941,20.620232207
201801,0.438223521,0.205910453,0.090149312,0.136466386,0.00569737,1.7987346872381,-0.361662893287273,7.32340214245122,7.98310499023505,67.257913957,62.630854722,42.014406006,21.587096991
201802,-0.098982377,-0.11875302,-0.006881878,0.019087422,0.007565098,1.85302054529854,0.0201934924412228,5.11851428890364,7.66389331269151,65.419761211,60.93771076,40.712947926,21.081653576
201803,-0.086529014,-0.072333481,0.024700228,-0.044716317,0.005820556,1.33595822202399,-0.184156264561464,4.06890648855691,5.49838804489493,65.25488838,60.746239924,40.698522514,21.125541782
201804,0.189820038,0.12508309,0.032750607,0.047659859,-0.015673518,1.52606242375639,0.711183322105913,3.55779887772651,3.45027755414842,64.186043134,59.765525708,40.608401921,20.584797117
201901,1.312431347,0.998996907,0.046948049,0.216770296,0.049716095,4.4940123056938,4.63743739429492,2.43777542014585,5.04223168483329,66.181734519,61.3506213,40.901388351,21.402079945
201902,0.425169417,0.35310511,0.044261703,0.017323265,0.010479339,6.29492210125171,7.00034171145836,3.72050533594417,4.99284576071539,67.569981234,62.670148301,41.341036028,21.871600696
201903,0.690453689,0.578415981,-0.005009748,0.102499918,0.014547538,8.97402367268154,10.2752029848296,2.96192408196432,8.15904576323725,67.420082595,62.567755545,40.90656747,21.719950593
201904,-0.705956113,-0.619033135,-0.004821132,-0.060186561,-0.021915286,5.82615039397094,6.45435940791741,2.01049976492278,5.80068020702078,66.544679089,61.677388923,41.375082323,21.090877281
202001,2.698833443,2.29356748,0.052282112,0.291261236,0.061722616,10.1054153904938,12.3044839585513,2.11451934433431,6.99860333643405,69.943101693,65.178587229,41.82093443,22.448573739
202002,-1.157300493,-0.764704935,-0.081957868,-0.318679912,0.008042221,4.84327359088281,6.8560575661534,-0.970827947623087,0.262614542266126,71.952210043,67.11170701,44.612309074,22.39623257
202003,-0.093377254,-0.13063152,-0.013453192,0.040794352,0.009913105,2.27328425354267,3.46259293841147,-1.1764612618607,-0.954925337491386,75.467750586,70.333102704,47.148660034,23.395556957
