DATE,totCredtoNBOutside_yoyUSD,totCredtoResid_all_yoyUSD,totCredtoResid_Gov_yoyUSD,totCredtoNBOutside_yoyEUR,totCredtoResid_all_yoyEUR,totCredtoResid_Gov_yoyEUR,totCredtoNBOutside_yoyJPY,totCredtoResid_all_yoyJPY,totCredtoResid_Gov_yoyJPY
200701,19.159,8.09,4.881,15.535,4.516,0.684,7.78,0.359,0.818
200702,24.347,7.921,4.273,17.985,4.734,1.053,9.562,-0.51,0.106
200703,24.235,8.303,4.81,16.522,4.798,0.034,16.706,-0.487,-0.181
200704,19.782,7.926,5.164,17.953,6.221,0.668,17.404,0.029,0.446
200801,18.269,7.584,5.213,17.37,6.706,2.296,22.083,0.501,2.005
200802,13.332,6.247,5.575,9.087,5.984,1.55,14.623,1.466,2.175
200803,11.711,6.476,10.126,8.111,6.784,3.369,14.491,0.635,1.356
200804,1.592,5.677,14.919,0.697,7.352,11.199,3.14,1.708,2.366
200901,-2.113,4.729,17.359,-6.509,7.495,13.068,-7.927,0.395,0.197
200902,-3.78,5.019,21.478,-3.163,7.858,17.69,-3.993,1.527,3.266
200903,-3.299,3.533,19.482,-5.067,6.793,18.473,-11.495,1.752,4.055
200904,5.091,2.743,15.894,-4.719,4.366,10.776,-9.067,0.43,3.382
201001,6.093,3.073,15.323,-0.105,3.832,9.643,-5.354,1.371,4.875
201002,4.766,3.106,14.857,-0.757,4.054,8.396,-3.63,2.121,6.254
201003,8.213,3.53,14.601,0.392,3.753,6.628,1.769,2.277,6.737
201004,9.152,4.087,14.496,0.06,4.619,8.392,5.335,1.829,6.003
201101,11.289,3.54,11.813,-0.11,3.38,5.727,6.22,1.444,5.23
201102,14.721,3.158,9.363,-0.536,3.047,5.062,3.694,1.157,4.511
201103,11.686,3.145,8.892,0.892,3.446,5.042,2.599,1.9,5.396
201104,8.359,3.324,8.056,1.436,3.594,3.444,-1.822,1.844,4.927
201201,7.539,3.922,9.105,0.757,5.45,6.884,-3.85,2.145,4.928
201202,6.34,4.4,9.958,0.854,5.662,7.751,-1.707,1.503,4.375
201203,6.24,4.321,8.708,0.036,5.805,8.962,-2.059,1.297,3.661
201204,10.206,4.223,7.89,-1.067,5.388,13.157,-1.587,1.739,4
201301,11.42,4.162,7.567,-0.721,3.807,10.775,-1.761,2.271,4.895
201302,11.272,3.492,5.364,-1.579,2.656,9.359,-9.149,1.899,3.197
201303,10.097,3.458,4.516,-0.862,1.509,6.318,-11.043,2.044,3.091
201304,8.017,3.954,5.3,1.976,0.483,3.446,-3.056,2.323,3.447
201401,7.436,3.969,4.687,1.812,2.25,5.165,-4.238,2.15,3.115
201402,7.383,4.381,5.033,4.133,3.478,6.839,1.092,2.636,4.213
201403,8.509,4.112,5.112,5.597,4.272,8.296,-0.337,2.037,3.402
201404,7.928,3.591,3.887,5.394,5.701,8.712,-8.18,2.081,3.415
201501,7.506,3.276,3.158,10.373,7.284,8.161,-6.414,2.408,3.942
201502,7.974,3.638,3.465,8.32,4.193,1.662,-3.903,1.515,2.658
201503,6.059,3.536,2.883,6.766,4.392,1.969,-4.552,1.432,2.532
201504,3.807,3.87,4.2,6.45,3.146,0.578,-3.207,0.778,1.431
201601,2.335,4.531,5.236,3.459,1.305,0.848,-6.808,1.764,2.862
201602,2.743,4.332,5.423,5.962,3.961,6.028,-6.476,3.587,5.043
201603,4.377,4.915,6.101,5.133,2.916,4.082,-7.271,3.231,4.252
201604,5.276,4.265,4.789,5.999,2.228,2.15,-6.977,2.906,3.341
201701,6.071,3.728,3.467,9.048,0.739,-1.449,0.289,1.276,0.389
201702,4.923,3.699,3.023,9.278,-0.189,-2.324,2.507,-0.188,-1.771
201703,5.2,3.58,2.945,10.4,0.045,-1.811,3.208,0.383,-0.707
201704,6.536,4.276,3.127,10.489,1.105,-0.095,4.99,1.207,0.877
201801,5.994,5.058,5.655,6.523,1.75,1.281,2.346,1.218,1.28
201802,5.66,5.733,6.032,5.384,2.154,-0.042,0.374,1.547,1.17
201803,3.722,5.642,5.883,7.161,2.355,-0.438,7.802,1.01,0.055
201804,3.686,5.361,6.122,7.464,2.04,-0.058,10.091,1.492,0.982
201901,3.458,5.112,5.195,7.062,2.399,1.465,12.599,2.679,2.261
201902,3.569,4.172,4.355,8.919,3.514,4.321,7.826,2.885,2.976
201903,5.091,4.643,5.424,8.626,4.96,7.186,1.227,3.395,3.779
201904,4.573,4.614,5.733,5.821,3.586,4.224,-0.731,2.444,2.16
202001,6.812,5.812,6.213,7.513,3.534,3.817,0.217,1.36,0.364
202002,5.85,11.726,19.109,3.806,5.807,8.73,2.55,4.534,2.367
202003,4.565,11.496,19.383,1.303,6.486,11.166,1.558,5.54,4.111
