growth_vintage,EAP,ECA,LAC,MENA,ROW,SA,SSA
Covid-19 downside projection,8.277,0.579,3.643,3.399,0.209,73.830,33.929
Covid-19 baseline projection,7.814,0.573,3.455,3.399,0.209,71.778,32.004
