Country,Series,Date,Value
Bahrain,Total Confirmed Cases,4/25/2020,2589
Bahrain,Total Confirmed Cases,4/26/2020,2647
Bahrain,Total Confirmed Cases,4/27/2020,2723
Bahrain,Total Confirmed Cases,4/28/2020,2811
Bahrain,Total Confirmed Cases,4/29/2020,2921
Bahrain,Total Confirmed Cases,4/30/2020,3040
Bahrain,Total Confirmed Cases,5/1/2020,3170
Bahrain,Total Confirmed Cases,5/2/2020,3284
Bahrain,Total Confirmed Cases,5/3/2020,3383
Bahrain,Total Confirmed Cases,5/4/2020,3533
Bahrain,Total Confirmed Cases,5/5/2020,3720
Bahrain,Total Confirmed Cases,5/6/2020,3934
Bahrain,Total Confirmed Cases,5/7/2020,4199
Bahrain,Total Confirmed Cases,5/8/2020,4444
Bahrain,Total Confirmed Cases,5/9/2020,4774
Bahrain,Total Confirmed Cases,5/10/2020,4941
Bahrain,Total Confirmed Cases,5/11/2020,5236
Bahrain,Total Confirmed Cases,5/12/2020,5531
Bahrain,Total Confirmed Cases,5/13/2020,5816
Bahrain,Total Confirmed Cases,5/14/2020,6069
Bahrain,Total Confirmed Cases,5/15/2020,6582
Bahrain,Total Confirmed Cases,5/16/2020,6747
Bahrain,Total Confirmed Cases,5/17/2020,6956
Bahrain,Total Confirmed Cases,5/18/2020,7184
Bahrain,Total Confirmed Cases,5/19/2020,7532
Bahrain,Total Confirmed Cases,5/20/2020,7888
Bahrain,Total Confirmed Cases,5/21/2020,8174
Bahrain,Total Confirmed Cases,5/22/2020,8414
Bahrain,Total Confirmed Cases,5/23/2020,8802
Bahrain,Total Confirmed Cases,5/24/2020,9138
Bahrain,Total Confirmed Cases,5/25/2020,9171
Bahrain,Total Confirmed Cases,5/26/2020,9366
Bahrain,Total Confirmed Cases,5/27/2020,9692
Bahrain,Total Confirmed Cases,5/28/2020,10052
Bahrain,Total Confirmed Cases,5/29/2020,10449
Bahrain,Total Confirmed Cases,5/30/2020,10793
Bahrain,Total Confirmed Cases,5/31/2020,11398
Bahrain,Total Confirmed Cases,6/1/2020,11871
Bahrain,Total Confirmed Cases,6/2/2020,12311
Bahrain,Total Confirmed Cases,6/3/2020,12815
Bahrain,Total Confirmed Cases,6/4/2020,13229
Bahrain,Total Confirmed Cases,6/5/2020,13835
Bahrain,Total Confirmed Cases,6/6/2020,14383
Bahrain,Total Confirmed Cases,6/7/2020,14763
Bahrain,Total Confirmed Cases,6/8/2020,15417
Bahrain,Total Confirmed Cases,6/9/2020,15731
Bahrain,Total Confirmed Cases,6/10/2020,16200
Bahrain,Total Confirmed Cases,6/11/2020,16668
Bahrain,Total Confirmed Cases,6/12/2020,17268
Bahrain,Total Confirmed Cases,6/13/2020,17713
Bahrain,Total Confirmed Cases,6/14/2020,18227
Bahrain,Total Confirmed Cases,6/15/2020,19013
Bahrain,Total Confirmed Cases,6/16/2020,19553
Bahrain,Total Confirmed Cases,6/17/2020,19961
Bahrain,Total Confirmed Cases,6/18/2020,20430
Bahrain,Total Confirmed Cases,6/19/2020,20916
Bahrain,Total Confirmed Cases,6/20/2020,21331
Bahrain,Total Confirmed Cases,6/21/2020,21764
Bahrain,Total Confirmed Cases,6/22/2020,22407
Bahrain,Total Confirmed Cases,6/23/2020,23062
Bahrain,Total Confirmed Cases,6/24/2020,23570
Bahrain,Total Confirmed Cases,6/25/2020,24081
Bahrain,Total Confirmed Cases,6/26/2020,24805
Bahrain,Total Confirmed Cases,6/27/2020,25267
Bahrain,Total Confirmed Cases,6/28/2020,25705
Bahrain,Total Confirmed Cases,6/29/2020,26239
Bahrain,Total Confirmed Cases,6/30/2020,26758
Bahrain,Total Confirmed Cases,7/1/2020,27414
Bahrain,Total Confirmed Cases,7/2/2020,27837
Bahrain,Total Confirmed Cases,7/3/2020,28410
Bahrain,Total Confirmed Cases,7/4/2020,28857
Bahrain,Total Confirmed Cases,7/5/2020,29367
Bahrain,Total Confirmed Cases,7/6/2020,29821
Bahrain,Total Confirmed Cases,7/7/2020,30321
Bahrain,Total Confirmed Cases,7/8/2020,30931
Bahrain,Total Confirmed Cases,7/9/2020,31528
Bahrain,Total Confirmed Cases,7/10/2020,32039
Bahrain,Total Confirmed Cases,7/11/2020,32470
Bahrain,Total Confirmed Cases,7/12/2020,32941
Bahrain,Total Confirmed Cases,7/13/2020,33476
Bahrain,Total Confirmed Cases,7/14/2020,34078
Bahrain,Total Confirmed Cases,7/15/2020,34560
Bahrain,Total Confirmed Cases,7/16/2020,35084
Bahrain,Total Confirmed Cases,7/17/2020,35473
Bahrain,Total Confirmed Cases,7/18/2020,36004
Bahrain,Total Confirmed Cases,7/19/2020,36422
Bahrain,Total Confirmed Cases,7/20/2020,36936
Bahrain,Total Confirmed Cases,7/21/2020,37316
Bahrain,Total Confirmed Cases,7/22/2020,37637
Bahrain,Total Confirmed Cases,7/23/2020,37996
Bahrain,Total Confirmed Cases,7/24/2020,38458
Bahrain,Total Confirmed Cases,7/25/2020,38747
Bahrain,Total Confirmed Cases,7/26/2020,39131
Bahrain,Total Confirmed Cases,7/27/2020,39482
Bahrain,Total Confirmed Cases,7/28/2020,39921
Bahrain,Total Confirmed Cases,7/29/2020,40311
Bahrain,Total Confirmed Cases,7/30/2020,40755
Bahrain,Total Confirmed Cases,7/31/2020,40982
Bahrain,Total Confirmed Cases,8/1/2020,41190
Bahrain,Total Confirmed Cases,8/2/2020,41536
Bahrain,Total Confirmed Cases,8/3/2020,41835
Bahrain,Total Confirmed Cases,8/4/2020,42132
Bahrain,Total Confirmed Cases,8/5/2020,42514
Bahrain,Total Confirmed Cases,8/6/2020,42889
Bahrain,Total Confirmed Cases,8/7/2020,43307
Bahrain,Total Confirmed Cases,8/8/2020,43629
Bahrain,Total Confirmed Cases,8/9/2020,44011
Bahrain,Total Confirmed Cases,8/10/2020,44397
Bahrain,Total Confirmed Cases,8/11/2020,44804
Bahrain,Total Confirmed Cases,8/12/2020,45264
Bahrain,Total Confirmed Cases,8/13/2020,45726
Bahrain,Total Confirmed Cases,8/14/2020,46052
Bahrain,Total Confirmed Cases,8/15/2020,46430
Bahrain,Total Confirmed Cases,8/16/2020,46835
Bahrain,Total Confirmed Cases,8/17/2020,47185
Bahrain,Total Confirmed Cases,8/18/2020,47581
Bahrain,Total Confirmed Cases,8/19/2020,47950
Bahrain,Total Confirmed Cases,8/20/2020,48303
Bahrain,Total Confirmed Cases,8/21/2020,48661
Bahrain,Total Confirmed Cases,8/22/2020,49038
Bahrain,Total Confirmed Cases,8/23/2020,49330
Bahrain,Total Confirmed Cases,8/24/2020,49719
Bahrain,Total Confirmed Cases,8/25/2020,50076
Bahrain,Total Confirmed Cases,8/26/2020,50393
Bahrain,Total Confirmed Cases,8/27/2020,50756
Bahrain,Total Confirmed Cases,8/28/2020,51113
Bahrain,Total Confirmed Cases,8/29/2020,51391
Bahrain,Total Confirmed Cases,8/30/2020,51574
Bahrain,Total Confirmed Cases,8/31/2020,51972
Bahrain,Total Confirmed Cases,9/1/2020,52440
Bahrain,Total Confirmed Cases,9/2/2020,52807
Bahrain,Total Confirmed Cases,9/3/2020,53433
Bahrain,Total Confirmed Cases,9/4/2020,54095
Bahrain,Total Confirmed Cases,9/5/2020,54771
Bahrain,Total Confirmed Cases,9/6/2020,55415
Bahrain,Total Confirmed Cases,9/7/2020,56076
Bahrain,Total Confirmed Cases,9/8/2020,56778
Bahrain,Total Confirmed Cases,9/9/2020,57450
Bahrain,Total Confirmed Cases,9/10/2020,58207
Bahrain,Total Confirmed Cases,9/11/2020,58839
Bahrain,Total Confirmed Cases,9/12/2020,59586
Bahrain,Total Confirmed Cases,9/13/2020,60307
Bahrain,Total Confirmed Cases,9/14/2020,60965
Bahrain,Total Confirmed Cases,9/15/2020,61643
Bahrain,Total Confirmed Cases,9/16/2020,62484
Bahrain,Total Confirmed Cases,9/17/2020,63189
Bahrain,Total Confirmed Cases,9/18/2020,63879
Bahrain,Total Confirmed Cases,9/19/2020,64499
Bahrain,Total Confirmed Cases,9/20/2020,65039
Bahrain,Total Confirmed Cases,9/21/2020,65752
Bahrain,Total Confirmed Cases,9/22/2020,66402
Bahrain,Total Confirmed Cases,9/23/2020,67014
Bahrain,Total Confirmed Cases,9/24/2020,67701
Bahrain,Total Confirmed Cases,9/25/2020,68190
Bahrain,Total Confirmed Cases,9/26/2020,68775
Bahrain,Total Confirmed Cases,9/27/2020,69361
Bahrain,Total Confirmed Cases,9/28/2020,69848
Bahrain,Total Confirmed Cases,9/29/2020,70422
Bahrain,Total Confirmed Cases,9/30/2020,70864
Bahrain,Total Confirmed Cases,10/1/2020,71374
Bahrain,Total Confirmed Cases,10/2/2020,71803
Bahrain,Total Confirmed Cases,10/3/2020,72310
Bahrain,Total Confirmed Cases,10/4/2020,72662
Bahrain,Total Confirmed Cases,10/5/2020,73116
Bahrain,Total Confirmed Cases,10/6/2020,73476
Bahrain,Total Confirmed Cases,10/7/2020,73932
Bahrain,Total Confirmed Cases,10/8/2020,74422
Bahrain,Total Confirmed Cases,10/9/2020,74860
Bahrain,Total Confirmed Cases,10/10/2020,75287
Bahrain,Total Confirmed Cases,10/11/2020,75614
Bahrain,Total Confirmed Cases,10/12/2020,75948
Bahrain,Total Confirmed Cases,10/13/2020,76272
Bahrain,Total Confirmed Cases,10/14/2020,76621
Bahrain,Total Confirmed Cases,10/15/2020,76954
Bahrain,Total Confirmed Cases,10/16/2020,77325
Bahrain,Total Confirmed Cases,10/17/2020,77571
Bahrain,Total Confirmed Cases,10/18/2020,77902
Bahrain,Total Confirmed Cases,10/19/2020,78224
Bahrain,Total Confirmed Cases,10/20/2020,78533
Bahrain,Total Confirmed Cases,10/21/2020,78907
Bahrain,Total Confirmed Cases,10/22/2020,79211
Bahrain,Total Confirmed Cases,10/23/2020,79574
Bahrain,Total Confirmed Cases,10/24/2020,79975
Bahrain,Total Confirmed Cases,10/25/2020,80255
Bahrain,Total Confirmed Cases,10/26/2020,80533
Bahrain,Total Confirmed Cases,10/27/2020,80765
Bahrain,Total Confirmed Cases,10/28/2020,81022
Bahrain,Total Confirmed Cases,10/29/2020,81262
Bahrain,Total Confirmed Cases,10/30/2020,81466
Bahrain,Total Confirmed Cases,10/31/2020,81645
Bahrain,Total Confirmed Cases,11/1/2020,81923
Bahrain,Total Confirmed Cases,11/2/2020,82133
Bahrain,Total Confirmed Cases,11/3/2020,82363
Bahrain,Total Confirmed Cases,11/4/2020,82624
Bahrain,Total Confirmed Cases,11/5/2020,82786
Bahrain,Total Confirmed Cases,11/6/2020,83023
Bahrain,Total Confirmed Cases,11/7/2020,83264
Bahrain,Total Confirmed Cases,11/8/2020,83456
Bahrain,Total Confirmed Cases,11/9/2020,83632
Bahrain,Total Confirmed Cases,11/10/2020,83811
Bahrain,Total Confirmed Cases,11/11/2020,84042
Bahrain,Total Confirmed Cases,11/12/2020,84192
Bahrain,Total Confirmed Cases,11/13/2020,84349
Bahrain,Total Confirmed Cases,11/14/2020,84523
Bahrain,Total Confirmed Cases,11/15/2020,84703
Bahrain,Total Confirmed Cases,11/16/2020,84882
Bahrain,Total Confirmed Cases,11/17/2020,85008
Bahrain,Total Confirmed Cases,11/18/2020,85182
Bahrain,Total Confirmed Cases,11/19/2020,85317
Bahrain,Total Confirmed Cases,11/20/2020,85467
Bahrain,Total Confirmed Cases,11/21/2020,85591
Bahrain,Total Confirmed Cases,11/22/2020,85705
Bahrain,Total Confirmed Cases,11/23/2020,85886
Bahrain,Total Confirmed Cases,11/24/2020,86016
Bahrain,Total Confirmed Cases,11/25/2020,86185
Bahrain,Total Confirmed Cases,11/26/2020,86347
Bahrain,Total Confirmed Cases,11/27/2020,86515
Bahrain,Total Confirmed Cases,11/28/2020,86645
Bahrain,Total Confirmed Cases,11/29/2020,86787
Bahrain,Total Confirmed Cases,11/30/2020,86956
Bahrain,Total Confirmed Cases,12/1/2020,87137
Bahrain,Total Confirmed Cases,12/2/2020,87270
Bahrain,Total Confirmed Cases,12/3/2020,87432
Bahrain,Total Confirmed Cases,12/4/2020,87600
Bahrain,Total Confirmed Cases,12/5/2020,87732
Bahrain,Total Confirmed Cases,12/6/2020,87930
Bahrain,Total Confirmed Cases,12/7/2020,88111
Bahrain,Total Confirmed Cases,12/8/2020,88294
Bahrain,Total Confirmed Cases,12/9/2020,88495
Bahrain,Total Confirmed Cases,12/10/2020,88632
Bahrain,Total Confirmed Cases,12/11/2020,88820
Bahrain,Total Confirmed Cases,12/12/2020,88965
Bahrain,Total Confirmed Cases,12/13/2020,89143
Bahrain,Total Confirmed Cases,12/14/2020,89268
Bahrain,Total Confirmed Cases,12/15/2020,89444
Bahrain,Total Confirmed Cases,12/16/2020,89600
Bahrain,Total Confirmed Cases,12/17/2020,89743
Bahrain,Total Confirmed Cases,12/18/2020,89883
Bahrain,Total Confirmed Cases,12/19/2020,90062
Bahrain,Total Confirmed Cases,12/20/2020,90282
Bahrain,Total Confirmed Cases,12/21/2020,90450
Bahrain,Total Confirmed Cases,12/22/2020,90634
Bahrain,Total Confirmed Cases,12/23/2020,90817
Bahrain,Total Confirmed Cases,12/24/2020,91070
Bahrain,Total Confirmed Cases,12/25/2020,91304
Bahrain,Total Confirmed Cases,12/26/2020,91518
Bahrain,Total Confirmed Cases,12/27/2020,91733
Bahrain,Total Confirmed Cases,12/28/2020,91935
Bahrain,Total Confirmed Cases,12/29/2020,92169
Bahrain,Total Confirmed Cases,12/30/2020,92425
Bahrain,Total Confirmed Cases,12/31/2020,92675
Bahrain,Total Confirmed Cases,1/1/2021,92913
Bahrain,Total Confirmed Cases,1/2/2021,93184
Bahrain,Total Confirmed Cases,1/3/2021,93478
Bahrain,Total Confirmed Cases,1/4/2021,93766
Bahrain,Total Confirmed Cases,1/5/2021,93995
Bahrain,Total Confirmed Cases,1/6/2021,94284
Bahrain,Total Confirmed Cases,1/7/2021,94633
Bahrain,Total Confirmed Cases,1/8/2021,95030
Bahrain,Total Confirmed Cases,1/9/2021,95317
Bahrain,Total Confirmed Cases,1/10/2021,95558
Bahrain,Total Confirmed Cases,1/11/2021,95879
Bahrain,Total Confirmed Cases,1/12/2021,96195
Bahrain,Total Confirmed Cases,1/13/2021,96470
Bahrain,Total Confirmed Cases,1/14/2021,96812
Bahrain,Total Confirmed Cases,1/15/2021,97020
Bahrain,Total Confirmed Cases,1/16/2021,97268
Bahrain,Total Confirmed Cases,1/17/2021,97607
Bahrain,Total Confirmed Cases,1/18/2021,97940
Bahrain,Total Confirmed Cases,1/19/2021,98260
Bahrain,Total Confirmed Cases,1/20/2021,98573
Bahrain,Total Confirmed Cases,1/21/2021,98878
Bahrain,Total Confirmed Cases,1/22/2021,99210
Bahrain,Total Confirmed Cases,1/23/2021,99456
Bahrain,Total Confirmed Cases,1/24/2021,99817
Bahrain,Total Confirmed Cases,1/25/2021,100230
Bahrain,Total Confirmed Cases,1/26/2021,100689
Bahrain,Total Confirmed Cases,1/27/2021,101116
Bahrain,Total Confirmed Cases,1/28/2021,101503
Bahrain,Total Confirmed Cases,1/29/2021,101971
Bahrain,Total Confirmed Cases,1/30/2021,102626
Bahrain,Total Confirmed Cases,1/31/2021,103057
Bahrain,Total Confirmed Cases,2/1/2021,103582
Bahrain,Total Confirmed Cases,2/2/2021,104239
Bahrain,Total Confirmed Cases,2/3/2021,104792
Bahrain,Total Confirmed Cases,2/4/2021,105496
Bahrain,Total Confirmed Cases,2/5/2021,106198
Bahrain,Total Confirmed Cases,2/6/2021,106713
Bahrain,Total Confirmed Cases,2/7/2021,107329
Bahrain,Total Confirmed Cases,2/8/2021,108048
Bahrain,Total Confirmed Cases,2/9/2021,108807
Bahrain,Total Confirmed Cases,2/10/2021,109604
Bahrain,Total Confirmed Cases,2/11/2021,110416
Bahrain,Total Confirmed Cases,2/12/2021,111312
Bahrain,Total Confirmed Cases,2/13/2021,112102
Bahrain,Total Confirmed Cases,2/14/2021,112742
Bahrain,Total Confirmed Cases,2/15/2021,113590
Bahrain,Total Confirmed Cases,2/16/2021,114361
Bahrain,Total Confirmed Cases,2/17/2021,115057
Bahrain,Total Confirmed Cases,2/18/2021,115705
Bahrain,Total Confirmed Cases,2/19/2021,116482
Bahrain,Total Confirmed Cases,2/20/2021,117234
Bahrain,Total Confirmed Cases,2/21/2021,117809
Bahrain,Total Confirmed Cases,2/22/2021,118530
Bahrain,Total Confirmed Cases,2/23/2021,119205
Bahrain,Total Confirmed Cases,2/24/2021,119858
Bahrain,Total Confirmed Cases,2/25/2021,120495
Bahrain,Total Confirmed Cases,2/26/2021,121127
Bahrain,Total Confirmed Cases,2/27/2021,121778
Bahrain,Total Confirmed Cases,2/28/2021,122394
Bahrain,Total Confirmed Cases,3/1/2021,123039
Bahrain,Total Confirmed Cases,3/2/2021,123531
Bahrain,Total Confirmed Cases,3/3/2021,124269
Bahrain,Total Confirmed Cases,3/4/2021,124857
Bahrain,Total Confirmed Cases,3/5/2021,125514
Bahrain,Total Confirmed Cases,3/6/2021,126126
Bahrain,Total Confirmed Cases,3/7/2021,126602
Bahrain,Total Confirmed Cases,3/8/2021,127255
Bahrain,Total Confirmed Cases,3/9/2021,127800
Bahrain,Total Confirmed Cases,3/10/2021,128428
Bahrain,Total Confirmed Cases,3/11/2021,129081
Bahrain,Total Confirmed Cases,3/12/2021,129825
Bahrain,Total Confirmed Cases,3/13/2021,130404
Bahrain,Total Confirmed Cases,3/14/2021,131001
Kuwait,Total Confirmed Cases,1/25/2020,
Kuwait,Total Confirmed Cases,1/26/2020,
Kuwait,Total Confirmed Cases,1/27/2020,
Kuwait,Total Confirmed Cases,1/28/2020,
Kuwait,Total Confirmed Cases,1/29/2020,
Kuwait,Total Confirmed Cases,1/30/2020,
Kuwait,Total Confirmed Cases,1/31/2020,
Kuwait,Total Confirmed Cases,2/1/2020,
Kuwait,Total Confirmed Cases,2/2/2020,
Kuwait,Total Confirmed Cases,2/3/2020,
Kuwait,Total Confirmed Cases,2/4/2020,
Kuwait,Total Confirmed Cases,2/5/2020,
Kuwait,Total Confirmed Cases,2/6/2020,
Kuwait,Total Confirmed Cases,2/7/2020,
Kuwait,Total Confirmed Cases,2/8/2020,
Kuwait,Total Confirmed Cases,2/9/2020,
Kuwait,Total Confirmed Cases,2/10/2020,
Kuwait,Total Confirmed Cases,2/11/2020,
Kuwait,Total Confirmed Cases,2/12/2020,
Kuwait,Total Confirmed Cases,2/13/2020,
Kuwait,Total Confirmed Cases,2/14/2020,
Kuwait,Total Confirmed Cases,2/15/2020,
Kuwait,Total Confirmed Cases,2/16/2020,
Kuwait,Total Confirmed Cases,2/17/2020,
Kuwait,Total Confirmed Cases,2/18/2020,
Kuwait,Total Confirmed Cases,2/19/2020,
Kuwait,Total Confirmed Cases,2/20/2020,
Kuwait,Total Confirmed Cases,2/21/2020,
Kuwait,Total Confirmed Cases,2/22/2020,
Kuwait,Total Confirmed Cases,2/23/2020,
Kuwait,Total Confirmed Cases,2/24/2020,3
Kuwait,Total Confirmed Cases,2/25/2020,11
Kuwait,Total Confirmed Cases,2/26/2020,26
Kuwait,Total Confirmed Cases,2/27/2020,43
Kuwait,Total Confirmed Cases,2/28/2020,45
Kuwait,Total Confirmed Cases,2/29/2020,45
Kuwait,Total Confirmed Cases,3/1/2020,46
Kuwait,Total Confirmed Cases,3/2/2020,56
Kuwait,Total Confirmed Cases,3/3/2020,56
Kuwait,Total Confirmed Cases,3/4/2020,56
Kuwait,Total Confirmed Cases,3/5/2020,58
Kuwait,Total Confirmed Cases,3/6/2020,58
Kuwait,Total Confirmed Cases,3/7/2020,61
Kuwait,Total Confirmed Cases,3/8/2020,64
Kuwait,Total Confirmed Cases,3/9/2020,65
Kuwait,Total Confirmed Cases,3/10/2020,69
Kuwait,Total Confirmed Cases,3/11/2020,72
Kuwait,Total Confirmed Cases,3/12/2020,80
Kuwait,Total Confirmed Cases,3/13/2020,100
Kuwait,Total Confirmed Cases,3/14/2020,104
Kuwait,Total Confirmed Cases,3/15/2020,112
Kuwait,Total Confirmed Cases,3/16/2020,123
Kuwait,Total Confirmed Cases,3/17/2020,130
Kuwait,Total Confirmed Cases,3/18/2020,142
Kuwait,Total Confirmed Cases,3/19/2020,148
Kuwait,Total Confirmed Cases,3/20/2020,159
Kuwait,Total Confirmed Cases,3/21/2020,176
Kuwait,Total Confirmed Cases,3/22/2020,188
Kuwait,Total Confirmed Cases,3/23/2020,189
Kuwait,Total Confirmed Cases,3/24/2020,191
Kuwait,Total Confirmed Cases,3/25/2020,195
Kuwait,Total Confirmed Cases,3/26/2020,208
Kuwait,Total Confirmed Cases,3/27/2020,225
Kuwait,Total Confirmed Cases,3/28/2020,235
Kuwait,Total Confirmed Cases,3/29/2020,255
Kuwait,Total Confirmed Cases,3/30/2020,266
Kuwait,Total Confirmed Cases,3/31/2020,289
Kuwait,Total Confirmed Cases,4/1/2020,317
Kuwait,Total Confirmed Cases,4/2/2020,342
Kuwait,Total Confirmed Cases,4/3/2020,417
Kuwait,Total Confirmed Cases,4/4/2020,479
Kuwait,Total Confirmed Cases,4/5/2020,556
Kuwait,Total Confirmed Cases,4/6/2020,665
Kuwait,Total Confirmed Cases,4/7/2020,743
Kuwait,Total Confirmed Cases,4/8/2020,855
Kuwait,Total Confirmed Cases,4/9/2020,910
Kuwait,Total Confirmed Cases,4/10/2020,993
Kuwait,Total Confirmed Cases,4/11/2020,1154
Kuwait,Total Confirmed Cases,4/12/2020,1234
Kuwait,Total Confirmed Cases,4/13/2020,1300
Kuwait,Total Confirmed Cases,4/14/2020,1355
Kuwait,Total Confirmed Cases,4/15/2020,1405
Kuwait,Total Confirmed Cases,4/16/2020,1524
Kuwait,Total Confirmed Cases,4/17/2020,1658
Kuwait,Total Confirmed Cases,4/18/2020,1751
Kuwait,Total Confirmed Cases,4/19/2020,1915
Kuwait,Total Confirmed Cases,4/20/2020,1995
Kuwait,Total Confirmed Cases,4/21/2020,2080
Kuwait,Total Confirmed Cases,4/22/2020,2248
Kuwait,Total Confirmed Cases,4/23/2020,2399
Kuwait,Total Confirmed Cases,4/24/2020,2614
Kuwait,Total Confirmed Cases,4/25/2020,2892
Kuwait,Total Confirmed Cases,4/26/2020,3075
Kuwait,Total Confirmed Cases,4/27/2020,3288
Kuwait,Total Confirmed Cases,4/28/2020,3440
Kuwait,Total Confirmed Cases,4/29/2020,3740
Kuwait,Total Confirmed Cases,4/30/2020,4024
Kuwait,Total Confirmed Cases,5/1/2020,4377
Kuwait,Total Confirmed Cases,5/2/2020,4619
Kuwait,Total Confirmed Cases,5/3/2020,4983
Kuwait,Total Confirmed Cases,5/4/2020,5278
Kuwait,Total Confirmed Cases,5/5/2020,5804
Kuwait,Total Confirmed Cases,5/6/2020,6289
Kuwait,Total Confirmed Cases,5/7/2020,6567
Kuwait,Total Confirmed Cases,5/8/2020,7208
Kuwait,Total Confirmed Cases,5/9/2020,7623
Kuwait,Total Confirmed Cases,5/10/2020,8688
Kuwait,Total Confirmed Cases,5/11/2020,9286
Kuwait,Total Confirmed Cases,5/12/2020,10277
Kuwait,Total Confirmed Cases,5/13/2020,11028
