Country,Series,Date,Value
Bahrain,Total Confirmed Cases,1/25/2020,
Bahrain,Total Confirmed Cases,1/26/2020,
Bahrain,Total Confirmed Cases,1/27/2020,
Bahrain,Total Confirmed Cases,1/28/2020,
Bahrain,Total Confirmed Cases,1/29/2020,
Bahrain,Total Confirmed Cases,1/30/2020,
Bahrain,Total Confirmed Cases,1/31/2020,
Bahrain,Total Confirmed Cases,2/1/2020,
Bahrain,Total Confirmed Cases,2/2/2020,
Bahrain,Total Confirmed Cases,2/3/2020,
Bahrain,Total Confirmed Cases,2/4/2020,
Bahrain,Total Confirmed Cases,2/5/2020,
Bahrain,Total Confirmed Cases,2/6/2020,
Bahrain,Total Confirmed Cases,2/7/2020,
Bahrain,Total Confirmed Cases,2/8/2020,
Bahrain,Total Confirmed Cases,2/9/2020,
Bahrain,Total Confirmed Cases,2/10/2020,
Bahrain,Total Confirmed Cases,2/11/2020,
Bahrain,Total Confirmed Cases,2/12/2020,
Bahrain,Total Confirmed Cases,2/13/2020,
Bahrain,Total Confirmed Cases,2/14/2020,
Bahrain,Total Confirmed Cases,2/15/2020,
Bahrain,Total Confirmed Cases,2/16/2020,
Bahrain,Total Confirmed Cases,2/17/2020,
Bahrain,Total Confirmed Cases,2/18/2020,
Bahrain,Total Confirmed Cases,2/19/2020,
Bahrain,Total Confirmed Cases,2/20/2020,
Bahrain,Total Confirmed Cases,2/21/2020,
Bahrain,Total Confirmed Cases,2/22/2020,
Bahrain,Total Confirmed Cases,2/23/2020,
Bahrain,Total Confirmed Cases,2/24/2020,1
Bahrain,Total Confirmed Cases,2/25/2020,23
Bahrain,Total Confirmed Cases,2/26/2020,33
Bahrain,Total Confirmed Cases,2/27/2020,33
Bahrain,Total Confirmed Cases,2/28/2020,36
Bahrain,Total Confirmed Cases,2/29/2020,41
Bahrain,Total Confirmed Cases,3/1/2020,47
Bahrain,Total Confirmed Cases,3/2/2020,49
Bahrain,Total Confirmed Cases,3/3/2020,52
Bahrain,Total Confirmed Cases,3/4/2020,52
Bahrain,Total Confirmed Cases,3/5/2020,56
Bahrain,Total Confirmed Cases,3/6/2020,63
Bahrain,Total Confirmed Cases,3/7/2020,79
Bahrain,Total Confirmed Cases,3/8/2020,109
Bahrain,Total Confirmed Cases,3/9/2020,110
Bahrain,Total Confirmed Cases,3/10/2020,162
Bahrain,Total Confirmed Cases,3/11/2020,162
Bahrain,Total Confirmed Cases,3/12/2020,210
Bahrain,Total Confirmed Cases,3/13/2020,210
Bahrain,Total Confirmed Cases,3/14/2020,211
Bahrain,Total Confirmed Cases,3/15/2020,214
Bahrain,Total Confirmed Cases,3/16/2020,227
Bahrain,Total Confirmed Cases,3/17/2020,242
Bahrain,Total Confirmed Cases,3/18/2020,256
Bahrain,Total Confirmed Cases,3/19/2020,278
Bahrain,Total Confirmed Cases,3/20/2020,292
Bahrain,Total Confirmed Cases,3/21/2020,310
Bahrain,Total Confirmed Cases,3/22/2020,334
Bahrain,Total Confirmed Cases,3/23/2020,377
Bahrain,Total Confirmed Cases,3/24/2020,392
Bahrain,Total Confirmed Cases,3/25/2020,419
Bahrain,Total Confirmed Cases,3/26/2020,458
Bahrain,Total Confirmed Cases,3/27/2020,466
Bahrain,Total Confirmed Cases,3/28/2020,476
Bahrain,Total Confirmed Cases,3/29/2020,500
Bahrain,Total Confirmed Cases,3/30/2020,515
Bahrain,Total Confirmed Cases,3/31/2020,567
Bahrain,Total Confirmed Cases,4/1/2020,569
Bahrain,Total Confirmed Cases,4/2/2020,643
Bahrain,Total Confirmed Cases,4/3/2020,672
Bahrain,Total Confirmed Cases,4/4/2020,688
Bahrain,Total Confirmed Cases,4/5/2020,700
Bahrain,Total Confirmed Cases,4/6/2020,756
Bahrain,Total Confirmed Cases,4/7/2020,811
Bahrain,Total Confirmed Cases,4/8/2020,823
Bahrain,Total Confirmed Cases,4/9/2020,887
Bahrain,Total Confirmed Cases,4/10/2020,925
Bahrain,Total Confirmed Cases,4/11/2020,1040
Bahrain,Total Confirmed Cases,4/12/2020,1136
Bahrain,Total Confirmed Cases,4/13/2020,1361
Bahrain,Total Confirmed Cases,4/14/2020,1528
Bahrain,Total Confirmed Cases,4/15/2020,1673
Bahrain,Total Confirmed Cases,4/16/2020,1700
Bahrain,Total Confirmed Cases,4/17/2020,1744
Bahrain,Total Confirmed Cases,4/18/2020,1773
Bahrain,Total Confirmed Cases,4/19/2020,1881
Bahrain,Total Confirmed Cases,4/20/2020,1907
Bahrain,Total Confirmed Cases,4/21/2020,1973
Bahrain,Total Confirmed Cases,4/22/2020,2027
Bahrain,Total Confirmed Cases,4/23/2020,2217
Bahrain,Total Confirmed Cases,4/24/2020,2506
